링크,제목,본문요약,날짜,신문사,카테고리
https://www.hani.co.kr/arti/society/society_general/1105227.html,"몸 아픈 노인, '매일 샤워'는 추억…목욕은 주 1회도 사치 [영상]","누구나 혼자 씻기 어려워지는 때가 온다. 다리와 허리 건강이 나빠지면서 노인장기요양 3등급을 받은 김정자(85·서울 양천구)씨는 
지난달부터 일주일...",3 weeks ago,한겨레,사회
https://www.chosun.com/economy/money/2023/09/03/HDLD4FBC4ZE6XEV3AY4CKFLTZM/,일본 노인들이 옷장 속에 돈다발을 보관하는 5가지 이유 [왕개미연구소],"일본 노인들이 옷장 속에 돈다발을 보관하는 5가지 이유 왕개미연구소 1000兆원 육박하는 일본의 단스예금 내년 7월 신권 발행 앞두고 
전전긍긍...",1 week ago,조선일보,머니
http://www.asandesk.co.kr/news/articleView.html?idxno=20716,"충남도, '제1회 전국노인체육대회' 막 올라","10~12일 천안시 일원서 10개 종목 진행충남도가 '건강한 백세! 신나는 체전!'을 주제로 천안시에서 열리는 제1회 전국노인체육대회가 
지난 10일...",14 hours ago,아산데스크,"뉴스, 스포츠, 뉴스 > 스포츠"
https://www.kyeonggi.com/article/20230911580179,퇴직경찰·고령자로 구성된 ‘시니어 치안지킴이’…“우리동네 안전확보에 앞장”,"수원에선 만 60세 이상 퇴직 경찰 공무원과 고령자로 구성된 든든한 '시니어 치안지킴이'가 활동 중이다. 경찰청 전문강사로부터 
직무교육을 이수한...",4 hours ago,경기일보,없음
https://m.segye.com/view/20230910509982,노인체육복지 메카 꿈꾸는 충남 제1회 전국노인체육대회 개최,"우리나라에서 처음으로 65세 이상 노인들이 선수로 참가하는 전국노인체육대회가 충남 천안에서 열렸다. 충남도와 천안시에 따르면 '건강한 
백세!",22 hours ago,세계일보,충청
https://www.healthinnews.co.kr/news/articleView.html?idxno=40368,"의협, 노인외래정액제도 개선 지지 < 보건정책/의료 < 보건·의료 < 기사본문","대한의사협회는 5일 국회도서관 4층 대회의실에서 열린 '노인외래정액제도 개선을 위한 공청회'에 참석하여 노인외래정액제 제도 개선을 위한 
논의에...",5 days ago,헬스인뉴스,"보건·의료, 보건정책/의료, 보건·의료 > 보건정책/의료"
https://www.hani.co.kr/arti/society/society_general/1107020.html,수레 끄는 노인 '1㎞ 동행' 우산 씌워준 여성의 '숨겨진 선행',"지난달 29일 경기일보는 '내 어깨는 다 젖어도... [포토뉴스]' (https://url.kr/o2wkyi)라는 보도를 했다. 이날 
굵은 빗줄기...",1 week ago,한겨레,사회
http://www.monthlypeople.com/news/articleView.html?idxno=654110,"충청남도, '건강한 백세! 전국노인체육대회' 막 올라","[월간인물] 충남도는 '건강한 백세! 신나는 체전!'을 주제로 천안시에서 열리는 제1회 전국노인체육대회가 10일 개회식을 시작으로 
3일간의 열전에...",1 day ago,월간인물,"일반, 지역, 일반 > 지역"
http://www.doctorstimes.com/news/articleView.html?idxno=224067,물가·환경변화에 따른 노인외래정액제 개선 요구 높아져,"국회 보건복지위원회(신동근, 고영인, 강기윤) 주최로 '노인외래정액제도 개선을 위한 공청회'가 5일 국회도서관 대회의실에서 열렸다.",6 days ago,의사신문,"의료뉴스, 일반, 의료뉴스 > 일반 > 헤드라인"
http://www.bosa.co.kr/news/articleView.html?idxno=2204876,"소셜 로봇, 인지저하 노인 기능 개선 도움","[의학신문·일간보사=김현기 기자] 강원대학교병원 조희숙 교수가 지역사회에 거주하는 인지 저하 노인의 소셜 로봇의 사용이 우울과 
인지기능을 개선...",6 days ago,의학신문,"의원·병원, 학회/학술, 의원·병원 > 학회/학술"
https://www.hani.co.kr/arti/opinion/column/1105546.html,아픈 노인의 눈높이 그대로…호빗의 집에 다녀왔다,[똑똑! 한국사회] 양창모 | 강원도의 왕진의사 그곳은 호빗이 이 세상에 쏘아 올린 집이다. 의자와 탁자 높이가 모두 바깥세...,3 weeks ago,한겨레,사설.칼럼
http://m.dailypharm.com/News/303806,[데일리팜] '노인 외래정액 2만원대 구간 개선해야'...정부 '난감',"[데일리팜=이정환 기자] 보건복지부가 노인 외래정액제와 관련해 대한의사협회가 제안한 개편안 2건에 대해 섣불리 선택하기 어렵다는 
입장을...",5 days ago,데일리팜,없음
https://www.hankyung.com/article/2023091186205,"달작, 스마트 시니어를 위한 '통합 서비스 앱' 개발 나서",문화콘텐츠 전문기업 달작(대표이사 조영상)이 시니어를 위한 통합 서비스 어플리케이션(스마트폰앱) 개발을 시작한다고 밝혔다.,10 hours ago,한국경제,산업
http://www.veritas-a.com/news/articleView.html?idxno=472327,김천대 산학협력단 노인 복지/재가복지 맞춤형 재활서비스/건강관리 특강 개최,"[베리타스알파=박소현 기자] 김천대 산학협력단은 김천시 남산지구 도시재생 주민주도 마을기업 육성교육 사업 운영기관으로 9일 교육생,...",4 hours ago,베리타스알파,"대학, 대학뉴스, 대학 > 대학뉴스"
http://www.docdocdoc.co.kr/news/articleView.html?idxno=3009298,넘을 수 없는 '2만원의 벽'…노인외래정액제 어떻게 고칠까,"초고령사회를 앞두고 고령층 의료비 부담을 줄이기 위해 노인외래정액제를 개선해야 한다는 목소리가 커지고 있다.지난 5일 국회 
보건복지위원회...",5 days ago,청년의사,"뉴스, 정책, 뉴스 > 정책"
https://m.yonhapnewstv.co.kr/news/MYH20230901013600032,30초 얼어붙은 81세 의원…미국서 불붙은 '노인정치' 논란,"30초 얼어붙은 81세 의원…미국서 불붙은 '노인정치' 논란 [앵커] 올해 81세인 미국 공화당 상원 1인자가 기자회견 중 의식이 
정지된 듯한 얼음 상태에...",1 week ago,연합뉴스TV,세계
http://www.policenews24.co.kr/news/articleView.html?idxno=12816,충청남도. 건강한 백세! 전국노인체육대회 개회식,"충남도는 '건강한 백세! 신나는 체전!'을 주제로 천안시에서 열리는 제1회 전국노인체육대회가 10일 개회식을 시작으로 3일간의 열전에 
돌입했다고...",23 hours ago,경찰뉴스24,"사회, 사회"
https://www.hankyung.com/article/202309106986Y,전국노인체육대회 천안서 개막…12일까지 10개 종목 경기,"제1회 전국노인체육대회가 10일 충남 천안에서 개막했다. 오는 12일까지 이어지는 이번 대회에는 선수·임원·운영요원 등 6천500여명이 
참가한다.",1 day ago,한국경제,스포츠 일반
https://www.newsfreezone.co.kr/news/articleView.html?idxno=511963,하동 어르신들의 행복한 추억 만들기 가을여행,"[경남=뉴스프리존]손승모 기자= 하동군노인장애인종합복지관이 지난 8일 복지관 노인 회원 40명을 대상으로 함양군에서 문화탐방 
'가을여행'을 운영...",6 hours ago,뉴스프리존,"지역, 부산·울산·경남, 지역 > 부산·울산·경남"
